Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_analysis,complete,seuclidean,standard,0.30701582643585035,0.8261510128913444,0.08408001409518981
audio_analysis,average,seuclidean,minMax,0.7325113189971769,0.9977103606182026,1.8988629043725947e-05
audio_analysis,average,seuclidean,standard,0.7402721117410824,0.9977103606182026,1.8988629043725947e-05
audio_analysis,single,sokalmichener,minMax,0.2635937423448886,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,sokalmichener,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,sokalmichener,minMax,0.26562150848654187,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,sokalmichener,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,sokalmichener,minMax,0.26362504766505296,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,sokalmichener,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,sokalsneath,minMax,0.2635937423448886,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,sokalsneath,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,sokalsneath,minMax,0.26562150848654187,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,sokalsneath,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,sokalsneath,minMax,0.26362504766505296,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,sokalsneath,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,sqeuclidean,minMax,0.6927654266263185,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,single,sqeuclidean,standard,0.7065041543294426,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,complete,sqeuclidean,minMax,0.5009574411240018,0.690537084398977,0.15909955697471792
audio_analysis,complete,sqeuclidean,standard,0.2803199344264866,0.690537084398977,0.15909955697471792
audio_analysis,average,sqeuclidean,minMax,0.734218496714312,0.9045155221072436,0.03155916121161814
audio_analysis,average,sqeuclidean,standard,0.7284922226158225,0.9045155221072436,0.03155916121161814
audio_tracks,single,braycurtis,minMax,0.4732109015906421,0.997709049255441,4.8777547452419434e-05
audio_tracks,single,braycurtis,standard,-0.08259486065532573,0.997709049255441,4.8777547452419434e-05
audio_tracks,complete,braycurtis,minMax,0.45568158826845356,0.9216710182767625,0.04167815059965851
audio_tracks,complete,braycurtis,standard,0.2651599321652841,0.9216710182767625,0.04167815059965851
audio_tracks,average,braycurtis,minMax,0.5689415618843502,0.9547403525488328,0.012020064342069647
audio_tracks,average,braycurtis,standard,0.3572791884762889,0.9547403525488328,0.012020064342069647
audio_tracks,single,canberra,minMax,0.4975935359195576,0.997709049255441,-6.885169429168469e-05
audio_tracks,single,canberra,standard,-0.10411825959652819,0.997709049255441,-6.885169429168469e-05
audio_tracks,complete,canberra,minMax,0.42600535103735226,0.6288384512683578,0.2250495496088076
audio_tracks,complete,canberra,standard,0.2843768342535457,0.6288384512683578,0.2250495496088076
audio_tracks,average,canberra,minMax,0.5674907152675206,0.9971428571428571,-0.00014035823704134894
audio_tracks,average,canberra,standard,0.27220138250455106,0.9971428571428571,-0.00014035823704134894
audio_tracks,single,chebyshev,minMax,0.38441994298282617,0.9971428571428571,0.00014830785845359266
audio_tracks,single,chebyshev,standard,0.5696643150961249,0.9971428571428571,0.00014830785845359266
audio_tracks,complete,chebyshev,minMax,0.2690612102744111,0.9845303867403314,0.001857263690739113
audio_tracks,complete,chebyshev,standard,0.2624246190971959,0.9845303867403314,0.001857263690739113
audio_tracks,average,chebyshev,minMax,0.4795872703388643,0.9855715871254163,0.0015660749321533781
audio_tracks,average,chebyshev,standard,0.5596342573525743,0.9855715871254163,0.0015660749321533781
audio_tracks,single,cityblock,minMax,0.3983453998947007,0.9971428571428571,0.00014830785845359266
audio_tracks,single,cityblock,standard,0.6340222701103259,0.9971428571428571,0.00014830785845359266
audio_tracks,complete,cityblock,minMax,0.4864256028536611,0.9589622641509434,0.010839742163607597
audio_tracks,complete,cityblock,standard,0.4880704804167281,0.9589622641509434,0.010839742163607597
audio_tracks,average,cityblock,minMax,0.5822913934465769,0.9779806659505907,0.003284889237800065
audio_tracks,average,cityblock,standard,0.6719265242384649,0.9779806659505907,0.003284889237800065
audio_tracks,single,correlation,minMax,0.33632629972750006,0.9988545246277205,-1.4164415235215224e-05
audio_tracks,single,correlation,standard,-0.0631416686065788,0.9988545246277205,-1.4164415235215224e-05
audio_tracks,complete,correlation,minMax,0.5124526860184152,0.6904098686828491,0.14541053406907564
audio_tracks,complete,correlation,standard,0.28326614824288543,0.6904098686828491,0.14541053406907564
audio_tracks,average,correlation,minMax,0.5582861894457221,0.9988551803091014,2.4151318873606698e-05
audio_tracks,average,correlation,standard,0.373734520801063,0.9988551803091014,2.4151318873606698e-05
audio_tracks,single,cosine,minMax,0.48984010169727726,0.9988545246277205,-1.4164415235215224e-05
audio_tracks,single,cosine,standard,-0.1067339695308907,0.9988545246277205,-1.4164415235215224e-05
audio_tracks,complete,cosine,minMax,0.49157391229318453,0.9840484048404841,0.00036340343913062026
audio_tracks,complete,cosine,standard,0.2753342481728661,0.9840484048404841,0.00036340343913062026
audio_tracks,average,cosine,minMax,0.5829410458293586,0.9904548006737788,0.0004459441386565034
audio_tracks,average,cosine,standard,0.38809470338475976,0.9904548006737788,0.0004459441386565034
audio_tracks,single,dice,minMax,0.3180685045158328,0.9764957264957265,0.0007119572729655871
audio_tracks,single,dice,standard,,0.9764957264957265,0.0007119572729655871
audio_tracks,complete,dice,minMax,0.31483518846707803,0.9813793103448276,0.002886929837999752
audio_tracks,complete,dice,standard,,0.9813793103448276,0.002886929837999752
audio_tracks,average,dice,minMax,0.2708916013797636,0.9742765273311897,0.003102479913231816
audio_tracks,average,dice,standard,,0.9742765273311897,0.003102479913231816
audio_tracks,single,euclidean,minMax,0.49003744429740814,0.9971428571428571,0.00014830785845359266
audio_tracks,single,euclidean,standard,0.668391888861926,0.9971428571428571,0.00014830785845359266
audio_tracks,complete,euclidean,minMax,0.5074901479861822,0.9845303867403314,0.001857263690739113
audio_tracks,complete,euclidean,standard,0.3925345692761208,0.9845303867403314,0.001857263690739113
